,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
60,"Nijiiro no Sensou","SEKAI NO OWARI",55267,https://open.spotify.com/track/5lkk7V7MbxxVbJ93qUO81D
61,"MIRROR MIRROR",HIRAIDAI,54079,https://open.spotify.com/track/0Sp31BXc9dedQnfKYCiojE
62,"Shining One",BE:FIRST,53072,https://open.spotify.com/track/7DTKSwO1kTAJDu9Q5U73UZ
63,ピーターパン,優里,53002,https://open.spotify.com/track/0Ic9yiyHCoRCSvPoqTagat
64,"Bad Habits","Ed Sheeran",52450,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
65,海のリビング,鈴木鈴木,52395,https://open.spotify.com/track/0CZB07xMxIGRfCZT93ynFj
66,"Boy With Luv (feat. Halsey)",BTS,51360,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
67,"猫 〜THE FIRST TAKE ver.〜",DISH//,50182,https://open.spotify.com/track/25BJRpLBe3i6d8okphoRAm
68,ミライチズ,"Yoru no Hitowarai",50067,https://open.spotify.com/track/3mSqtn05vfpqAMpFTLsxpi
69,ily…,HIRAIDAI,49833,https://open.spotify.com/track/6amRvd3cJjQXJUnfjNboLU
70,"Ordinary days",milet,49685,https://open.spotify.com/track/6D5E8pz4YKYrjY9BqROTox
71,不思議,"Gen Hoshino",49601,https://open.spotify.com/track/6NKn02oJDkUkRa9IHbMe3n
72,"snow jam",Rin音,48881,https://open.spotify.com/track/6uUtmCz8XXep7n1QmC1jJG
73,怪獣の花唄,Vaundy,48820,https://open.spotify.com/track/4W29WmnGN1FlufURaBt8yw
74,恋人ごっこ,"Macaroni Empitsu",48291,https://open.spotify.com/track/2SihT7AVMiI2VtaAyVIcnO
75,"Life Goes On",BTS,48199,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD
76,マリーゴールド,Aimyon,47292,https://open.spotify.com/track/2cKiHG16JBiqHdi7Llq0r7
77,シル・ヴ・プレジデント,P丸様｡,45993,https://open.spotify.com/track/0nW1Aes1arNyR1fzEKXS2m
78,LALISA,LISA,45505,https://open.spotify.com/track/7uQZVznj0uQOGC9KhV2Mg6
79,"Make you happy",NiziU,45175,https://open.spotify.com/track/1LnJVIG1BaHTRznuOgR0yc
80,たぶん,YOASOBI,45031,https://open.spotify.com/track/398dL22bDbKbAmiOnPaq7o
81,Lemon,"Kenshi Yonezu",44704,https://open.spotify.com/track/04TshWXkhV1qkqHzf31Hn6
82,"Stay Gold",BTS,44498,https://open.spotify.com/track/3Ys2PYl1wyPKQIwyqhP9cQ
83,紅蓮華,LiSA,43843,https://open.spotify.com/track/0qMip0B2D4ePEjBJvAtYre
84,"Perfect World",TWICE,43675,https://open.spotify.com/track/0iuZMy88H6vxDA2oaJNhJg
85,"Shape of You","Ed Sheeran",43228,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
86,あの夢をなぞって,YOASOBI,42961,https://open.spotify.com/track/5ptl2PXkiSth54HCuGO7vN
87,"Take a picture",NiziU,42745,https://open.spotify.com/track/0iEzzJ3zmNQqATy2MilumS
88,優しい彗星,YOASOBI,42649,https://open.spotify.com/track/19fhOFi6pNGeZe5uiFlm7c
89,グッバイ宣言,Chinozo,42529,https://open.spotify.com/track/2gbVuqze7bpndIy1q9rFvv
90,Answer,幾田りら,42232,https://open.spotify.com/track/5hVAQTNarrb3lmWqg9Ens4
91,"Butter (feat. Megan Thee Stallion)",BTS,42155,https://open.spotify.com/track/3JR0ducCexKbeK47g6AHm5
92,桜が降る夜は,Aimyon,42133,https://open.spotify.com/track/1iEsGutpDvMJG0zYqoKKmQ
93,"Our Style",WILYWNKA,42069,https://open.spotify.com/track/2r31qQymHkEhfXlaBewBNb
94,CHILDAYS,"BLOOM VASE",41226,https://open.spotify.com/track/1g1AXdio16Yh5SXgPBXcfq
95,ただ君に晴れ,ヨルシカ,41172,https://open.spotify.com/track/3wJHCry960drNlAUGrJLmz
96,世界の秘密,Vaundy,40653,https://open.spotify.com/track/2T7ZvJAtL7xK04ww5rbmvo
97,インフェルノ,"Mrs. GREEN APPLE",40553,https://open.spotify.com/track/2vOAHp8PBBFYqvQUWSoITY
98,夜撫でるメノウ,Ayase,39092,https://open.spotify.com/track/6IHWPY5iBUI1AOUclbtE6F
99,Universe,"Official HIGE DANdism",39006,https://open.spotify.com/track/0RuLz62h4YPNXqdO20Fmf6
100,Renegades,"ONE OK ROCK",38873,https://open.spotify.com/track/3RpFwqdROrxJvHywpT1pJ4
101,Shivers,"Ed Sheeran",38787,https://open.spotify.com/track/6bQfNiqyCX7UaQSvVVGo4I
102,ノーダウト,"Official HIGE DANdism",38006,https://open.spotify.com/track/5DMEvbg3gUmiR5HIBWdveV
103,春泥棒,ヨルシカ,37526,https://open.spotify.com/track/1rr2DJOxV0sHXeUXCAz1yf
104,僕のこと,"Mrs. GREEN APPLE",37479,https://open.spotify.com/track/0tnhoHUrHfcLi9hPknUFZ4
105,花束のかわりにメロディーを,"Shota Shimizu",37341,https://open.spotify.com/track/2028QNsVTmp5IF7UK4ZnaE
106,ワタリドリ,[Alexandros],37191,https://open.spotify.com/track/0ve9Tpz8Yw0I4eXhWsy21o
107,ヴァンパイア,DECO*27,37186,https://open.spotify.com/track/0m9QPTZzjtqCWY9Jg8poHc
108,Shukumei,"Official HIGE DANdism",36990,https://open.spotify.com/track/0XaHPBAzPAC5ubwcRBqc1p
109,Bushido,"Good Gas",36901,https://open.spotify.com/track/52HrZG4pwtYxTUuu6qlTWf
110,高嶺の花子さん,"back number",36391,https://open.spotify.com/track/2jdbZGFp8KVTuk0YxDNL4l
111,ブルーベリー・ナイツ,"Macaroni Empitsu",36078,https://open.spotify.com/track/2UdvMWk0Z83lMJPbawy2Sm
112,"One Last Kiss","Hikaru Utada",35898,https://open.spotify.com/track/5RhWszHMSKzb7KiXk4Ae0M
113,"HAPPY BIRTHDAY","back number",35880,https://open.spotify.com/track/4FMz2RFrbDGzJO7K4D0vS3
114,まちがいさがし,"Masaki Suda",35772,https://open.spotify.com/track/55Ww4Pa1iIQMhh0MLMetjo
115,会いたくて,Ado,35542,https://open.spotify.com/track/2N8p4NIVVVpe74sz2Fp4yA
116,分かってないよ,WurtS,35422,https://open.spotify.com/track/5wosJVYKzl3g7XElM98m23
117,のびしろ,"Creepy Nuts",35348,https://open.spotify.com/track/3bbIIVIwBoLqVcLebiEJFo
118,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",34669,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
119,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",34385,https://open.spotify.com/track/27NovPIUIRrOZoCHxABJwK
120,10月無口な君を忘れる,あたらよ,34193,https://open.spotify.com/track/006u4CXVO2cusq08RrMElQ
